Time,Symbol,TNA,Spot Price,Future Price
2023-02-09 11:21:10.776556,LINKUSD,10.39,7.685,7.796
2023-02-09 11:21:24.838943,LINKUSD,10.67,7.684,7.798
2023-02-09 11:21:37.548727,LINKUSD,10.3,7.688,7.798
2023-02-09 11:21:52.460562,LINKUSD,10.3,7.687,7.797
2023-02-09 11:22:09.891339,LINKUSD,10.86,7.683,7.799
2023-02-09 11:22:23.153517,LINKUSD,10.67,7.685,7.799
2023-02-09 11:22:35.686913,LINKUSD,10.76,7.684,7.799
2023-02-09 11:22:51.024612,LINKUSD,10.58,7.686,7.799
2023-02-09 11:23:07.639133,LINKUSD,10.67,7.685,7.799
2023-02-09 11:27:29.818760,LINKUSD,11.21,7.692,7.812
2023-02-09 11:33:45.969158,LINKUSD,10.35,7.715,7.826
2023-02-09 11:34:17.587365,LINKUSD,11.91,7.719,7.847
2023-02-09 11:50:17.752758,LINKUSD,10.94,7.688,7.805
2023-02-09 11:50:30.694986,LINKUSD,11.96,7.685,7.813
2023-02-09 11:50:44.472182,LINKUSD,10.56,7.698,7.811
2023-02-09 11:56:21.803178,LINKUSD,10.02,7.686,7.793
2023-02-09 11:56:35.953320,LINKUSD,10.76,7.69,7.805
2023-02-09 11:56:48.856141,LINKUSD,10.47,7.694,7.806
2023-02-09 11:57:00.934708,LINKUSD,10.01,7.699,7.806
2023-02-09 11:57:14.793624,LINKUSD,10.37,7.702,7.813
2023-02-09 11:57:27.765345,LINKUSD,11.02,7.696,7.814
2023-02-09 11:57:40.671628,LINKUSD,10.56,7.695,7.808
2023-02-09 12:08:41.671751,LINKUSD,10.48,7.687,7.799
2023-02-09 12:08:53.215018,LINKUSD,10.11,7.691,7.799
2023-02-09 12:09:07.257713,LINKUSD,10.2,7.69,7.799
2023-02-09 12:09:19.543817,LINKUSD,10.67,7.683,7.797
2023-02-09 12:09:33.410969,LINKUSD,10.4,7.684,7.795
2023-02-09 12:16:44.771065,LINKUSD,10.18,7.705,7.814
2023-02-09 12:16:58.853963,LINKUSD,10.84,7.698,7.814
2023-02-09 12:17:13.467940,LINKUSD,10.29,7.693,7.803
2023-02-09 12:17:28.441779,LINKUSD,10.01,7.7,7.807
2023-02-09 12:24:02.954762,LINKUSD,10.36,7.711,7.822
2023-02-09 12:31:05.915356,LINKUSD,10.28,7.635,7.744
2023-02-09 13:06:26.049133,LINKUSD,10.35,7.576,7.685
2023-02-09 13:58:02.573943,LINKUSD,12.04,7.516,7.642
2023-02-09 13:58:14.904909,LINKUSD,12.86,7.528,7.663
2023-02-09 13:58:28.096882,LINKUSD,11.15,7.545,7.662
2023-02-09 13:58:42.099987,LINKUSD,10.58,7.551,7.662
